Name of the source,Country,Web link,Facebook link,YouTube link,Twitter Link,Source Type,Standards,Ownership Location,Political Leaning,Electoral Leaning,Geo-Political,Readership,Longevity,,,,,,,,,,,,,
Adevărul,RO,https://adevarul.ro/,https://www.facebook.com/Adevarul/,https://www.youtube.com/user/MyAdevarul,,Private Media,,,,,,,,,,,,,,,,,,,,
Hotnews,RO,https://www.hotnews.ro/,https://www.facebook.com/www.hotnews.ro/,https://www.youtube.com/user/hotnewsromania,,Private Media,,,,,,,,,,,,,,,,,,,,
Digi24,RO,https://www.digi24.ro/,https://www.facebook.com/Digi24HD/,https://www.youtube.com/channel/UCefmgg-Gy_2xsAIbMal4VRw,,Private Media,,,,,,,,,,,,,,,,,,,,
ProTV,RO,https://stirileprotv.ro/,https://www.facebook.com/StirileProTV/,https://www.youtube.com/channel/UCEJf5cGtkBdZS8Jh2uSW9xw,,Private Media,,,,,,,,,,,,,,,,,,,,
Libertatea,RO,https://www.libertatea.ro/,https://www.facebook.com/libertatea/,https://www.youtube.com/user/libertatearo,,Private Media,,,,,,,,,,,,,,,,,,,,
RomaniaTV,RO,https://www.romaniatv.net/,https://www.facebook.com/RomaniaTV/,https://www.youtube.com/watch?v=B6Wbj8AYFJE,,Private Media,,,,,,,,,,,,,,,,,,,,
Realitatea TV,RO,https://www.realitatea.net/,https://www.facebook.com/portalul.realitatea.net,https://www.youtube.com/channel/UCO4RZJR_9WZmS-qRA3tMMTg,,Private Media,,,,,,,,,,,,,,,,,,,,
Evenimentul Zilei,RO,https://evz.ro/,https://www.facebook.com/evz.ro/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
B1 TV,RO,https://www.b1.ro/,https://www.facebook.com/B1TV.Romania/,https://www.youtube.com/user/B1TVChannel,,Private Media,,,,,,,,,,,,,,,,,,,,
Europa FM,RO,https://www.europafm.ro/,https://www.facebook.com/europafmromania/,https://www.youtube.com/user/clubvipeuropafm,,Private Media,,,,,,,,,,,,,,,,,,,,
Antena 3,RO,https://www.antena3.ro/,https://www.facebook.com/Antena3Oficial/,https://www.youtube.com/user/antena3ro,,Private Media,,,,,,,,,,,,,,,,,,,,
Radio Romania-Actualitati,RO,http://www.romania-actualitati.ro/,https://www.facebook.com/romaniaactualitati/,https://www.youtube.com/watch?v=3kdQhrsqa8k,,Public Media,,,,,,,,,,,,,,,,,,,,
Radion France International Romania,RO,https://www.rfi.ro/,https://www.facebook.com/RFI.Romania.FM/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
TVR 1,RO,http://tvr1.tvr.ro/,https://www.facebook.com/fanTVR1/,https://www.youtube.com/user/TVRcanaluloficial,,Public Media,,,,,,,,,,,,,,,,,,,,
G4Media,RO,https://www.g4media.ro/,https://www.facebook.com/g4media.ro/,https://www.youtube.com/channel/UCy18ElVAyfTEVHC4HYAcj5g,,Private Media,,,,,,,,,,,,,,,,,,,,
Jurnalul National,RO,https://jurnalul.antena3.ro/stiri/,https://www.facebook.com/jurnalulnational.ro/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
Observator,RO,https://observator.tv/,https://www.facebook.com/ObservatorAntena1/,https://www.youtube.com/user/ObservatorTVAntena1,,Private Media,,,,,,,,,,,,,,,,,,,,
România Liberă,RO,https://romanialibera.ro/,https://www.facebook.com/romanialibera.ro/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
Mediafax,RO,https://www.mediafax.ro/,https://www.facebook.com/Mediafax-Top-News-145349325621701/,https://www.youtube.com/user/MediafaxRO,,Private Media,,,,,,,,,,,,,,,,,,,,
Radio Free Europe/ Radio Liberty,RO,https://romania.europalibera.org/,https://www.facebook.com/romania.europalibera/,https://www.youtube.com/channel/UCOk4Hl2jxsTJ4AoyV2zukoQ,,Private Media,,,,,,,,,,,,,,,,,,,,
Ziare.com,RO,http://www.ziare.com/,https://www.facebook.com/Ziare.com/,https://www.youtube.com/channel/UCjVFsYAndF_3oizyLM9q6eg,,Private Media,,,,,,,,,,,,,,,,,,,,
Capital,RO,https://www.capital.ro/,https://www.facebook.com/capital.ro/,N/A,,Private Media,,,,,,,,,,,,,,,,,,,,
PressOne,RO,https://pressone.ro/,https://www.facebook.com/pressoneromania/,https://www.youtube.com/channel/UCibAabz1FDPjhAtzuYYp4tA/featured,,Private Media,,,,,,,,,,,,,,,,,,,,
Bursa,RO,http://www.bursa.ro/,https://www.facebook.com/BURSAziarul,https://www.youtube.com/user/BursaVideos,,Private Media,,,,,,,,,,,,,,,,,,,,
Gândul,RO,https://www.gandul.info,https://www.facebook.com/Gandul.info/,https://www.facebook.com/Gandul.info/,,Private Media,,,,,,,,,,,,,,,,,,,,
Ziarul Financiar,RO,https://www.zf.ro/,https://www.facebook.com/ZIARULFINANCIAR/,https://www.youtube.com/channel/UC0nggDVchmmO7ikV4NosYhg,,Private Media,,,,,,,,,,,,,,,,,,,,
Agerpres,RO,www.agerpres.ro,https://www.facebook.com/AGERPRES/,https://www.youtube.com/channel/UCfnP_igK3BPLst-QTmIh0Wg,,Public Media,,,,,,,,,,,,,,,,,,,,
